shape,config,m,n,k,kb,ki,status,arch_file,workload_file,mapping_file,breakdown_file,mapping_exported,mapping_export_error,energy_pj,latency_cycles,dominant_energy_einsum,dominant_energy_pj,dominant_latency_einsum,dominant_latency_cycles,baseline_energy_pj,baseline_latency_cycles,energy_norm_vs_fp16,latency_norm_vs_fp16,ideal_energy_pj,ideal_latency_cycles,energy_norm_vs_ideal,latency_norm_vs_ideal,energy_over_ideal_pj,latency_over_ideal_cycles
decode_up,fp16_baseline,1,11008,4096,256,16,mapped_metrics_only,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/fp16_baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/fp16_baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/fp16_baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/fp16_baseline/mapping.breakdown.json,False,PydanticSerializationError: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value',183862400.0,11272192.0,MatMul,183862400.0,MatMul,11272192.0,183862400.0,11272192.0,1.0,1.0,58333593.6,704512.0,3.1519127942085157,16.0,125528806.4,10567680.0
decode_up,w4a16_prequant,1,11008,4096,256,16,mapped_metrics_only,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/w4a16_prequant/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/w4a16_prequant/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/w4a16_prequant/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/w4a16_prequant/mapping.breakdown.json,False,PydanticSerializationError: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value',376898688.0,14090240.0,DequantW,193036288.0,MatMulQ,11272192.0,183862400.0,11272192.0,2.0498954000382894,1.25,58333593.6,704512.0,6.461091538169868,20.0,318565094.4,13385728.0
decode_up,w4a4_nvfp4_inference,1,11008,4096,256,16,mapped,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/w4a4_nvfp4_inference/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/w4a4_nvfp4_inference/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/w4a4_nvfp4_inference/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/w4a4_nvfp4_inference/mapping.breakdown.json,True,,164498255.0,6627586.0,MatMulNVFP4,58333593.6,RescaleBlockW,5636096.0,183862400.0,11272192.0,0.8946813214664879,0.5879589346952216,58333593.6,704512.0,2.8199575038696056,9.407342955123546,106164661.4,5923074.0
decode_up,w4a4_ideal_no_overhead,1,11008,4096,256,16,mapped,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/w4a4_ideal_no_overhead/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/w4a4_ideal_no_overhead/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/w4a4_ideal_no_overhead/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_up/w4a4_ideal_no_overhead/mapping.breakdown.json,True,,58333593.6,704512.0,MatMulNVFP4,58333593.6,MatMulNVFP4,704512.0,183862400.0,11272192.0,0.31726766103346854,0.0625,58333593.6,704512.0,1.0,1.0,0.0,0.0
decode_down,fp16_baseline,1,4096,11008,688,16,mapped_metrics_only,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/fp16_baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/fp16_baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/fp16_baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/fp16_baseline/mapping.breakdown.json,False,PydanticSerializationError: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value',183900416.0,11272192.0,MatMul,183900416.0,MatMul,11272192.0,183900416.0,11272192.0,1.0,1.0,58333593.6,704512.0,3.15256449415796,16.0,125566822.4,10567680.0
decode_down,w4a16_prequant,1,4096,11008,688,16,mapped_metrics_only,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/w4a16_prequant/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/w4a16_prequant/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/w4a16_prequant/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/w4a16_prequant/mapping.breakdown.json,False,PydanticSerializationError: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value',376936704.0,14090240.0,DequantW,193036288.0,MatMulQ,11272192.0,183900416.0,11272192.0,2.0496783650560095,1.25,58333593.6,704512.0,6.461743238119312,20.0,318603110.4,13385728.0
decode_down,w4a4_nvfp4_inference,1,4096,11008,688,16,mapped,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/w4a4_nvfp4_inference/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/w4a4_nvfp4_inference/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/w4a4_nvfp4_inference/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/w4a4_nvfp4_inference/mapping.breakdown.json,True,,165862868.6,6615058.0,MatMulNVFP4,58333593.6,RescaleBlockW,5636096.0,183900416.0,11272192.0,0.9019167667353183,0.5868475270825763,58333593.6,704512.0,2.8433507754955114,9.38956043332122,107529275.0,5910546.0
decode_down,w4a4_ideal_no_overhead,1,4096,11008,688,16,mapped,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/w4a4_ideal_no_overhead/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/w4a4_ideal_no_overhead/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/w4a4_ideal_no_overhead/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/decode_down/w4a4_ideal_no_overhead/mapping.breakdown.json,True,,58333593.6,704512.0,MatMulNVFP4,58333593.6,MatMulNVFP4,704512.0,183900416.0,11272192.0,0.31720207527969924,0.0625,58333593.6,704512.0,1.0,1.0,0.0,0.0
prefill_up,fp16_baseline,128,11008,4096,256,16,mapped_metrics_only,/home/workspace/workspace/lab_4/project4_m1/sweeps/prefill_up/fp16_baseline/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/prefill_up/fp16_baseline/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/prefill_up/fp16_baseline/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/prefill_up/fp16_baseline/mapping.breakdown.json,False,PydanticSerializationError: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value',14065745920.0,1442840576.0,MatMul,14065745920.0,MatMul,1442840576.0,14065745920.0,1442840576.0,1.0,1.0,4581412044.8,360710144.0,3.0701770071008827,4.0,9484333875.2,1082130432.0
prefill_up,w4a16_prequant,128,11008,4096,256,16,mapped_metrics_only,/home/workspace/workspace/lab_4/project4_m1/sweeps/prefill_up/w4a16_prequant/arch.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/prefill_up/w4a16_prequant/workload.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/prefill_up/w4a16_prequant/mapping.yaml,/home/workspace/workspace/lab_4/project4_m1/sweeps/prefill_up/w4a16_prequant/mapping.breakdown.json,False,PydanticSerializationError: Error calling function `_serialize_model`: AttributeError: 'InvertibleSet' object has no attribute '_bits_per_value',14258782208.0,1445658624.0,MatMulQ,14065745920.0,MatMulQ,1442840576.0,14065745920.0,1442840576.0,1.0137238571703135,1.001953125,4581412044.8,360710144.0,3.1123116778339157,4.0078125,9677370163.2,1084948480.0
